ID,Day,Type,Description,Action,TargetValue,TargetCondition,RewardType,RewardValue,Priority
int,int,string,string,string,int,string,string,string,int
1,0,All,MISSION_STEAL,StealPet,1,,7|8,10|5,12
2,0,All,MISSION_STEAL,StealPet,3,,7|8,50|20,13
3,0,All,MISSION_HIT,HitPlayer,10,,2|8,20050|5,9
4,0,All,MISSION_BUY_PET,BuyPets,1,,2|8,20020|5,10
5,0,All,MISSION_BUY_PET,BuyPets,5,,2|8,30050|10,11
6,0,All,MISSION_FUSION,FusionPets,1,,7|8,10|5,14
7,0,All,MISSION_FUSION,FusionPets,3,,7|8,20|15,15
8,0,All,MISSION_GET_PETS,GetPets,1,Mutation,7|8,25|5,16
9,0,All,MISSION_GET_PETS,GetPets,5,Mutation,7|8,75|20,17
10,0,All,MISSION_SHOP,BuyItem,1,,2|8,30050|10,21
11,0,All,MISSION_LUCKY_SPIN,LuckySpin,1,,2|8,20020|10,3
12,0,All,MISSION_CLAIM_PET_INCOME,ClaimIncome,10,,7|8,10|5,4
13,0,All,MISSION_CLAIM_PET_INCOME,ClaimIncome,20,,7|8,10|10,5
14,0,All,MISSION_LOCK_BASE,LockBase,2,,2|8,20020|5,6
15,0,All,MISSION_LOCK_BASE,LockBase,5,,2|8,20050|10,7
16,0,All,MISSION_GET_PETS,GetPets,1,Weather,2|8,30050|15,18
17,0,All,MISSION_GET_PETS,GetPets,5,Weather,2|8,30500|20,19
18,0,All,MISSION_LOGIN,Login,1,,2|8,20020|10,1
19,1,All,MISSION_HIT,HitPlayer,1,,2|8,20020|5,8
20,2,All,MISSION_CLAIM_PET_INCOME,ClaimIncome,1,,2|8,20020|5,2
21,0,All,MISSION_SPEND_PET_COIN,SpendPetCoins,1,,7|8,20|5,4
22,0,All,MISSION_SPEND_PET_COIN,SpendPetCoins,20,,7|8,50|20,5
