ID,Day,UserType,RebirthLevel,Gift
int,int,string,int,int
1,1,New,1,10017
2,2,New,1,10016
3,3,New,1,10018
4,4,New,1,10019
5,5,New,1,10020
6,6,New,1,10021
7,7,New,1,10022
8,1,Revival,1,10030
9,2,Revival,1,10031
10,3,Revival,1,10032
11,4,Revival,1,10033
12,5,Revival,1,10034
13,6,Revival,1,10035
14,7,Revival,1,10036
15,1,Revival,8,10051
16,2,Revival,8,10052
17,3,Revival,8,10053
18,4,Revival,8,10054
19,5,Revival,8,10055
20,6,Revival,8,10056
21,7,Revival,8,10057
22,1,Revival,16,10058
23,2,Revival,16,10059
24,3,Revival,16,10060
25,4,Revival,16,10061
26,5,Revival,16,10062
27,6,Revival,16,10063
28,7,Revival,16,10064
29,1,Active,1,10030
30,2,Active,1,10031
31,3,Active,1,10032
32,4,Active,1,10033
33,5,Active,1,10034
34,6,Active,1,10035
35,7,Active,1,10036
