ID,Code,Details,Start,End,Rewards,Reuse
int,string,int,int,int,string,bool
1,GIFTCODE,1,1764821211,1766793600,{RT:1;RV:;RA:1},false
2,LOGINREWARD1,2,-1,-1,{RT:1;RV:;RA:1},true
10016,REWARDNEWDAY1,2,-1,-1,{Mail_RewardTypes:1;Mail_RewardValues:{44;3};Mail_RewardAmounts:1},true
10017,REWARDNEWDAY2,2,-1,-1,{Mail_RewardTypes:2;Mail_RewardValues:30050;Mail_RewardAmounts:1},true
10018,REWARDNEWDAY3,2,-1,-1,{Mail_RewardTypes:4;Mail_RewardValues:{EPIC;1};Mail_RewardAmounts:1},true
10019,REWARDNEWDAY4,2,-1,-1,{Mail_RewardTypes:9;Mail_RewardValues:2;Mail_RewardAmounts:1},true
10020,REWARDNEWDAY5,2,-1,-1,{Mail_RewardTypes:4;Mail_RewardValues:{LEGENDARY;1};Mail_RewardAmounts:1},true
10021,REWARDNEWDAY6,2,-1,-1,{Mail_RewardTypes:7;Mail_RewardValues:50;Mail_RewardAmounts:1},true
10022,REWARDNEWDAY7,2,-1,-1,{Mail_RewardTypes:4;Mail_RewardValues:{MYTHIC;1};Mail_RewardAmounts:1},true
10030,REWARDRETURNDAY1,2,-1,-1,{Mail_RewardTypes:1;Mail_RewardValues:{44;1};Mail_RewardAmounts:1},true
10031,REWARDRETURNDAY2,2,-1,-1,{Mail_RewardTypes:16;Mail_RewardValues:10;Mail_RewardAmounts:1},true
10032,REWARDRETURNDAY3,2,-1,-1,{Mail_RewardTypes:9;Mail_RewardValues:2;Mail_RewardAmounts:1},true
10033,REWARDRETURNDAY4,2,-1,-1,{Mail_RewardTypes:7;Mail_RewardValues:100;Mail_RewardAmounts:1},true
10034,REWARDRETURNDAY5,2,-1,-1,{Mail_RewardTypes:5;Mail_RewardValues:0.5;Mail_RewardAmounts:1},true
10035,REWARDRETURNDAY6,2,-1,-1,{Mail_RewardTypes:1;Mail_RewardValues:{76;1};Mail_RewardAmounts:1},true
10036,REWARDRETURNDAY7,2,-1,-1,{Mail_RewardTypes:16;Mail_RewardValues:10;Mail_RewardAmounts:3},true
10051,REVIVALLOGINR2_1,2,-1,-1,{Mail_RewardTypes:1;Mail_RewardValues:{63;1};Mail_RewardAmounts:1},false
10052,REVIVALLOGINR2_2,2,-1,-1,{Mail_RewardTypes:16;Mail_RewardValues:10;Mail_RewardAmounts:2},false
10053,REVIVALLOGINR2_3,2,-1,-1,{Mail_RewardTypes:9;Mail_RewardValues:3;Mail_RewardAmounts:1},false
10054,REVIVALLOGINR2_4,2,-1,-1,{Mail_RewardTypes:7;Mail_RewardValues:300;Mail_RewardAmounts:1},false
10055,REVIVALLOGINR2_5,2,-1,-1,{Mail_RewardTypes:5;Mail_RewardValues:0.5;Mail_RewardAmounts:1},false
10056,REVIVALLOGINR2_6,2,-1,-1,{Mail_RewardTypes:1;Mail_RewardValues:{76;1};Mail_RewardAmounts:1},false
10057,REVIVALLOGINR2_7,2,-1,-1,{Mail_RewardTypes:16;Mail_RewardValues:10;Mail_RewardAmounts:4},false
10058,REVIVALLOGINR3_1,2,-1,-1,{Mail_RewardTypes:1;Mail_RewardValues:{76;1};Mail_RewardAmounts:1},false
10059,REVIVALLOGINR3_2,2,-1,-1,{Mail_RewardTypes:16;Mail_RewardValues:10;Mail_RewardAmounts:3},false
10060,REVIVALLOGINR3_3,2,-1,-1,{Mail_RewardTypes:9;Mail_RewardValues:4;Mail_RewardAmounts:1},false
10061,REVIVALLOGINR3_4,2,-1,-1,{Mail_RewardTypes:7;Mail_RewardValues:500;Mail_RewardAmounts:1},false
10062,REVIVALLOGINR3_5,2,-1,-1,{Mail_RewardTypes:5;Mail_RewardValues:1;Mail_RewardAmounts:1},false
10063,REVIVALLOGINR3_6,2,-1,-1,{Mail_RewardTypes:1;Mail_RewardValues:{88;1};Mail_RewardAmounts:1},false
10064,REVIVALLOGINR3_7,2,-1,-1,{Mail_RewardTypes:16;Mail_RewardValues:10;Mail_RewardAmounts:5},false
