ID,Type,Milestone,Gift
int,int,string,string
1,1,1;2;3;4;5;6;7,10009;10010;10011;10012;10013;10014;10015
2,2,50;200,20012;20007
3,3,1;5;10;15;25,21005;21004;21003;21002;21011
4,2,20;50;120;180;250,21005;21004;21003;21002;20023
5,3,1;5;10;15;25,21005;21004;21002;50090;50090
6,2,5;25;50;85;120,21005;21004;51034;70001;51034
7,3,1;5;10;15;20,21005;21004;21002;51036;51036
8,4,1;2;3;4;5;6;7,10023;10024;10025;10026;10027;10028;10029
9,4,1;2;3;4;5;6;7,10016;10017;10018;10019;10020;10021;10022
10,4,1;2;3;4;5;6;7,10030;10031;10032;10033;10034;10035;10036
11,5,20;40;60;80;100,10041;10042;10043;10044;10049
